SECUCODE,SECURITY_NAME_ABBR,STD_ITEM_CODE,STD_ITEM_NAME,2024-12-31 00:00:00,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2017-12-31 00:00:00,2016-12-31 00:00:00,2015-12-31 00:00:00,2014-12-31 00:00:00,2013-12-31 00:00:00,2012-12-31 00:00:00,2011-12-31 00:00:00,2010-12-31 00:00:00,2009-12-31 00:00:00,2007-12-31 00:00:00,2006-12-31 00:00:00,2005-12-31 00:00:00,2004-12-31 00:00:00,2003-12-31 00:00:00,2002-12-31 00:00:00,2001-12-31 00:00:00,2000-12-31 00:00:00
00001.HK,长和,004030001,股本,3546733200.0,3470822600.0,3421224100.0,3134678400.0,3245363840.0,3454127680.0,3378627200.0,3224940780.0,3451019580.0,3233830800.0,8274457430.0,910454340.0,938964300.0,938790600.0,985376940.0,1019595840.0,1084328040.0,1163407860.0,1204667400.0,1231764600.0,1234080600.0,1228753800.0,1228174800.0,1228174800.0
00001.HK,长和,004030002,储备,266618954520.0,269358489260.0,247177634970.0,217603422400.0,207096463320.0,193535060560.0,173415751600.0,151878995630.0,130424925060.0,121380917520.0,302654708720.0,275331456160.0,262191590900.0,239915315200.0,220516807640.0,204802289440.0,202926655320.0,190819987110.0,181712321900.0,175842374400.0,518995900.0,2233615500.0,2188017800.0,2459531400.0
00001.HK,长和,004030003,股本溢价,225001790880.0,220186085840.0,217039598440.0,198814974400.0,205677458280.0,218908029060.0,214123127400.0,204384174550.0,218712167550.0,204997225980.0,,7336312130.0,7566041350.0,7564641700.0,7940027830.0,8215758880.0,8737361780.0,9374575770.0,9707039300.0,9925384700.0,9944046700.0,9901124100.0,9896458600.0,9896458600.0
00001.HK,长和,004030004,保留溢利(累计亏损),,,,,,,,,,,,,,,,,,,,,167885049500.0,162484120800.0,159086818200.0,155388506000.0
00001.HK,长和,004030006,拟派股息,,,,,,,,,,,,,,,,,,,,,3208822700.0,2998668600.0,2997255600.0,2997255600.0
00001.HK,长和,004030999,股东权益,495167478600.0,493015397700.0,467638457510.0,419553075200.0,416019285440.0,415897217300.0,390917506200.0,359488110960.0,352588112190.0,329611974300.0,310929166150.0,283578222630.0,270696596550.0,248418747500.0,229442212410.0,214037644160.0,212748345140.0,201357970740.0,192624028600.0,186999523700.0,182790995400.0,178846282800.0,175396725000.0,171969926400.0
00001.HK,长和,004035001,其他权益,,4137800520.0,4074204470.0,10149686400.0,10448960600.0,11116629800.0,10800041200.0,24643462710.0,27291500100.0,29450480340.0,7135329150.0,7113809040.0,4582924200.0,3768133600.0,,,,,,,,,,
00001.HK,长和,004036999,总权益,604326295680.0,607664914780.0,578221710430.0,526742888000.0,530286223320.0,534747516140.0,517679112600.0,494480052770.0,486783396900.0,460034213580.0,320318296890.0,293123054830.0,277839374200.0,254790849500.0,232693615940.0,217387870560.0,215937655420.0,206641530270.0,197576896900.0,192472260200.0,187166759600.0,183603194100.0,180366696600.0,175467785200.0
00001.HK,长和,004037999,总权益及非流动负债,908961044280.0,902937671160.0,868188764940.0,843855588800.0,909939086000.0,942069431500.0,885238003000.0,823678128970.0,765837420030.0,756214576980.0,336524842170.0,325004681330.0,313422715600.0,274142258500.0,252084608780.0,241416169760.0,243050538320.0,239322440700.0,217578745000.0,211975199700.0,205001249100.0,204323293800.0,200232795200.0,190123156000.0
00001.HK,长和,004039999,总权益及总负债,1030258393680.0,1050221076660.0,1025864318990.0,992178857600.0,1055918177440.0,1084768081280.0,1079692192800.0,919714157050.0,906554577150.0,865379824320.0,361255916670.0,337164514510.0,329792966250.0,302541890200.0,281616134430.0,261469982240.0,259023308360.0,250967570670.0,224940948100.0,218735013200.0,209644504000.0,211010346000.0,208418506000.0,200193553000.0
00001.HK,长和,004060999,非运算项目,,,,,,,,,379879612290.0,359062454640.0,318064495300.0,,,,,,,,,,,,,
