SECUCODE,SECURITY_NAME_ABBR,STD_ITEM_CODE,STD_ITEM_NAME,2024-12-31 00:00:00,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2017-12-31 00:00:00,2016-12-31 00:00:00,2015-12-31 00:00:00,2014-12-31 00:00:00,2013-12-31 00:00:00,2012-12-31 00:00:00,2011-12-31 00:00:00,2010-12-31 00:00:00,2009-12-31 00:00:00,2007-12-31 00:00:00,2006-12-31 00:00:00,2005-12-31 00:00:00,2004-12-31 00:00:00,2003-12-31 00:00:00,2002-12-31 00:00:00,2001-12-31 00:00:00,2000-12-31 00:00:00
00001.HK,长和,005007,购建无形资产及其他资产,1838189400.0,3290484820.0,1757062090.0,10291131200.0,2078850800.0,3675385340.0,8767257200.0,329348540.0,4025295000.0,2503286640.0,,4717380.0,17027850.0,11349800.0,24676970.0,213076160.0,3745520.0,866025540.0,1007010400.0,,,,,
00001.HK,长和,005008,出售附属公司,474132480.0,2987807340.0,19939572940.0,32175012800.0,19176767400.0,775745480.0,1112774000.0,12997564590.0,2546669970.0,2515015560.0,2601693260.0,1226518800.0,1271412800.0,,,430554720.0,2816631040.0,,1303495900.0,,,,,323483000.0
00001.HK,长和,005009,收购附属公司,6097047360.0,792036280.0,3094287280.0,1546081600.0,701086120.0,819638700.0,14692997800.0,34708655020.0,2145929490.0,-74208876840.0,6669106980.0,2273777160.0,,,,,,,,,,141126300.0,21212000.0,-56211800.0
00001.HK,长和,005010,收回投资所得现金,6887885520.0,4180392860.0,2226922110.0,268990400.0,625338520.0,567028740.0,346099000.0,248265270.0,4072704030.0,2614711380.0,469377650.0,2316233580.0,747603700.0,1660313600.0,511408930.0,1360341600.0,4165018240.0,2532773070.0,2312586900.0,2629466400.0,,,,318180000.0
00001.HK,长和,005011,投资支付现金,283368240.0,133214340.0,503804280.0,147168000.0,1479603120.0,64496160.0,7660616600.0,1777980570.0,804164490.0,167556000.0,143574340.0,141521400.0,223794600.0,11725964800.0,1118122020.0,534451360.0,1085264420.0,4201529940.0,986204400.0,1938061400.0,3314327000.0,663187500.0,3380132200.0,594996600.0
00001.HK,长和,005012,应收关联方款项(增加)减少(投资),,,,,,,,,,,,,2170645450.0,-11349800.0,-11913020.0,-12326720.0,-108620080.0,-31144770.0,-24967200.0,-14891800.0,-141738100.0,133698600.0,347876800.0,63636000.0
00001.HK,长和,005997,投资业务其他项目,1150141680.0,2563696380.0,334082980.0,853574400.0,1354198760.0,-1601654640.0,1946916400.0,672071640.0,1810488240.0,2578686840.0,1349756570.0,,2778782950.0,-553708100.0,-403340820.0,-471056800.0,252822600.0,-548549820.0,-400515500.0,-672258400.0,-60744900.0,-149615100.0,-485754800.0,-2081957800.0
00001.HK,长和,005999,投资业务现金净额,-18430048080.0,-13969381300.0,-3891084120.0,-449680000.0,-5440360960.0,-33519191820.0,-51765019800.0,-40694606530.0,-16125331770.0,60796019040.0,-8597894130.0,5418697160.0,2301192300.0,-9736507000.0,2619162540.0,1474804000.0,5781210120.0,-3628868040.0,1168256900.0,-638220000.0,-625565900.0,-1520556300.0,-4163915600.0,-3715281800.0
00001.HK,长和,006999,融资前现金净额,31787249040.0,32643856840.0,46769830660.0,42215958400.0,56143279480.0,28531488780.0,-2930889000.0,4106825830.0,19957412610.0,98118280260.0,21231647180.0,10997785240.0,,,,,,,,,,,,-3503161800.0
00001.HK,长和,007001,新增借款,50987762400.0,53229550360.0,35074246550.0,58007084800.0,37361241240.0,189480760280.0,48465250600.0,83998924080.0,68309256150.0,23512295700.0,,3212535780.0,21110479750.0,20574755300.0,8061710820.0,5690542240.0,6885202140.0,20785617630.0,7121893800.0,8161770100.0,3070281700.0,5921999100.0,11857508000.0,1301356200.0
00001.HK,长和,007002,偿还借款,55748534040.0,68293645420.0,60798636010.0,68307209600.0,47435672040.0,189417159900.0,48156828200.0,73287573340.0,40579446150.0,55316937840.0,2658491900.0,8003035170.0,19682572900.0,13173064300.0,5977783250.0,14384401760.0,9391891400.0,4865616810.0,5512549700.0,4824943200.0,7259548400.0,8583237900.0,8331013000.0,
00001.HK,长和,007003,已付利息(融资),,,,,,,,,,,,657288280.0,773550900.0,363193600.0,256129930.0,527407520.0,1658328980.0,1341234450.0,647066600.0,465900600.0,754515600.0,976212000.0,1310901600.0,
00001.HK,长和,007004,已付股息(融资),16248297840.0,14269340120.0,13832285950.0,13601593600.0,14445908960.0,17497270740.0,15288813800.0,13833474590.0,14638656150.0,11524501680.0,19861379990.0,,,,,,,,,,,,,
00001.HK,长和,007005,吸收投资所得,,,,,,,,,,,,-193412580.0,-114329850.0,-391568100.0,-144658100.0,-626021280.0,-582428360.0,322499070.0,-484779800.0,1090292500.0,-232322600.0,431867700.0,1501809600.0,1238780800.0
00001.HK,长和,007006,发行股份,577848960.0,,75927950.0,77672000.0,,,21905000.0,1324081440.0,977699430.0,-866264520.0,-163296090.0,,,,,,,,,,,,,
00001.HK,长和,007007,发行相关费用,,,,,,,,56841880.0,,,,,,,,,,,,,,,,
00001.HK,长和,007008,回购股份,,,175974190.0,1013006400.0,,8957800.0,114782200.0,,169062390.0,,,,,,,,,,,,,,,
00001.HK,长和,007009,赎回债券,3870847200.0,,6967506000.0,7652736000.0,,,17028947000.0,7356008000.0,10743065100.0,11141636220.0,,422205510.0,,,,,,,,,,,,
00001.HK,长和,007010,发行债券,,,,3800204800.0,,,3892080400.0,10700483910.0,8269744950.0,,,3014405820.0,801119800.0,3675713800.0,,,,,,,,,,
00001.HK,长和,007011,偿还融资租赁,13059942120.0,13118440720.0,12780013890.0,14231963200.0,15157936400.0,14304710820.0,,,,,,,,,,,,,,,,,,
00001.HK,长和,007013,购买子公司少数股权而支付的现金,,-55279420.0,807516080.0,1598408000.0,621971960.0,-1543428940.0,49067200.0,297583960.0,-12523140.0,-16755600.0,,,,,,,,,,,,,,
00001.HK,长和,007997,融资业务其他项目,,,,,,-1791560.0,12374572600.0,-1788011490.0,,34054919220.0,,,,,,,,,,,,,,
00001.HK,长和,007999,融资业务现金净额,-37362009840.0,-42396596480.0,-60211757620.0,-44519955200.0,-40300248120.0,-30205701600.0,-15884629800.0,-596003830.0,11438993880.0,-21265369740.0,-22683167980.0,-3048999940.0,1341145900.0,10322643100.0,1683139540.0,-9847288320.0,-4747446600.0,14901265440.0,477497700.0,3961218800.0,-5176104900.0,-3205583100.0,3717403000.0,2540137000.0
00001.HK,长和,010999,现金净额,-5574760800.0,-9752739640.0,-13441926960.0,-2303996800.0,15843031360.0,-1674212820.0,-18815518800.0,3510822000.0,31396406490.0,76852910520.0,-1451520800.0,7948785300.0,1032212050.0,-4258607100.0,11678163320.0,3742040000.0,1710766260.0,-4549145760.0,4449363100.0,-1222191300.0,3224808200.0,616499100.0,-905752400.0,-963024800.0
00001.HK,长和,011001,期初现金,117906190920.0,125135388700.0,136789114910.0,127505537600.0,115411568280.0,124509836880.0,140603814000.0,130627655700.0,108388671210.0,24661729860.0,24673486990.0,16642130410.0,16131049900.0,20386672900.0,9720173390.0,6315683040.0,3541389160.0,8348807700.0,4195529900.0,5512093400.0,2297649200.0,1671232500.0,2576197400.0,3539222200.0
00001.HK,长和,011999,期末现金,112331430120.0,115382649060.0,123347187950.0,125201540800.0,131254599640.0,122835624060.0,121788295200.0,134138477700.0,139785077700.0,101514640380.0,23221966190.0,24590915710.0,17163261950.0,16128065800.0,21398336710.0,10057723040.0,5252155420.0,3799661940.0,8644893000.0,4289902100.0,5522457400.0,2287731600.0,1670445000.0,2576197400.0
00001.HK,长和,013999,非运算项目,728034127200.0,767204945780.0,38267686800.0,18634739200.0,30844422720.0,9274010340.0,1043877517800.0,-703836220.0,58268381400.0,168673598520.0,41187691570.0,,,,,,,,,,,,,405149200.0
