指标名称,2024中报,2024三季报,2024一季报,2023年报,2023中报,2023三季报,2023一季报,2022年报,2022中报,2022三季报,2022一季报,2021年报,2021中报,2021三季报,2021一季报,2020年报,2020中报,2020三季报,2020一季报,2019年报,2019中报,2019三季报,2019一季报,2018年报,2018中报,2018三季报,2018一季报,2017年报,2017中报,2017三季报,2017一季报,2016年报,2016中报,2016三季报,2016一季报,2015年报,2015中报,2015三季报,2015一季报,2014年报,2014中报,2014三季报,2014一季报,2013年报,2013中报,2013三季报,2013一季报,2012年报,2012中报,2012三季报,2012一季报,2011年报,2011中报,2011三季报,2011一季报,2010年报,2010中报,2010三季报,2010一季报,2009年报,2009中报,2009三季报,2009一季报,2008年报,2008中报,2008三季报,2008一季报,2007年报,2007中报,2007三季报,2007一季报,2006年报,2006中报,2006三季报,2006一季报,2005年报,2005中报,2005三季报,2005一季报,2004年报,2004中报,2004三季报,2004一季报,2003年报,2003中报,2003三季报,2003一季报,2002年报,2002中报,2001年报,2001中报,2000年报
PAY_STAFF_CASH,100.32,126.69,72.0,138.45,90.0,111.36,63.55,117.52,73.36,94.55,54.32,100.61,61.85,80.0,42.7,81.62,51.69,66.05,36.63,76.7,45.77,60.01,32.32,66.53,39.72,51.16,23.6,54.9,34.05,44.11,23.74,46.74,26.99,37.02,16.17,45.37,26.19,34.92,16.69,33.94,16.47,26.14,9.27,31.36,12.12,17.95,5.19,29.54,14.26,18.19,9.59,19.26,9.94,13.75,5.43,14.93,8.27,10.92,5.29,12.29,6.55,8.99,4.61,8.09,3.92,5.58,2.32,6.23,3.09,4.25,1.85,4.05,1.78,2.56,1.28,2.51,1.27,1.67,0.88,1.6,1.0,1.22,0.32,2.06,0.77,1.16,0.43,1.07,0.65,0.93,,0.55
PAY_ALL_TAX,389.82,567.21,207.27,666.83,328.76,490.77,171.81,620.43,341.05,481.92,185.04,446.1,261.75,365.56,155.59,416.23,232.26,332.19,134.14,398.41,244.0,325.42,172.77,320.32,215.1,275.79,140.32,230.66,132.84,190.6,74.77,175.11,88.63,129.17,51.71,140.03,74.49,101.36,43.66,144.96,75.47,109.2,43.85,125.33,63.78,94.09,35.87,101.71,51.5,78.73,27.49,82.86,38.27,55.39,17.77,48.86,27.75,40.41,12.33,41.6,21.53,30.89,11.43,36.67,20.45,27.59,10.28,36.03,16.57,23.18,9.81,23.9,13.67,18.49,8.58,16.01,8.87,12.45,5.33,12.98,8.03,10.88,5.74,9.86,6.52,8.79,3.96,7.54,5.83,7.02,,3.72
PAY_OTHER_OPERATE,40.17,69.92,24.23,79.44,28.66,49.82,22.3,51.23,23.32,28.87,8.09,43.69,13.85,24.89,10.17,40.47,16.9,29.91,11.2,53.15,23.77,42.87,9.05,29.36,11.78,21.88,5.78,29.4,13.05,19.45,5.38,23.71,7.79,11.53,5.02,18.67,9.66,14.07,6.59,26.17,13.64,19.64,7.74,19.44,12.47,16.08,7.68,15.47,6.14,12.53,3.92,11.27,4.43,6.98,2.15,8.27,3.61,6.4,1.83,7.71,3.78,5.79,1.94,5.79,2.98,4.37,1.96,4.66,2.15,2.82,1.4,4.89,2.56,3.77,1.67,5.47,2.65,6.48,2.64,5.19,2.62,3.4,1.5,4.12,1.53,2.65,0.92,4.1,1.81,4.14,,1.61
OPERATE_OUTFLOW_OTHER,-3.0,,-5.0,25.0,,25.0,,,,,,-4.0,-0.7,-2.3,,2.0,2.0,2.0,2.0,2.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPERATE_OUTFLOW_BALANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.05
TOTAL_OPERATE_OUTFLOW,656.2,902.17,353.58,1016.63,384.02,625.08,267.09,1011.17,596.65,776.41,302.89,675.92,404.61,536.85,255.27,618.42,339.68,479.19,173.15,542.34,341.65,421.32,222.62,479.6,216.1,408.05,134.67,452.16,209.19,297.16,118.26,298.28,144.7,212.91,92.92,225.78,116.13,161.28,72.47,228.55,116.71,164.39,70.5,240.58,102.58,166.95,55.87,173.79,82.68,125.33,45.95,136.92,62.95,90.95,31.91,88.75,46.46,68.39,22.97,77.18,37.54,54.89,20.95,62.7,32.65,45.49,17.37,57.9,27.48,38.02,16.17,40.92,21.87,29.98,13.95,33.5,16.55,24.54,10.27,28.42,15.12,21.23,10.15,22.42,11.96,16.72,6.2,18.94,12.11,18.04,,8.88
OPERATE_NETCASH_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPERATE_NETCASH_BALANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.86,0.0
NETCASH_OPERATE,366.22,444.21,91.87,665.93,303.87,500.02,52.45,366.99,-0.11,94.05,-68.76,640.29,217.19,367.52,-14.85,516.69,126.21,251.11,23.03,452.11,240.87,273.15,11.89,413.85,177.35,282.21,49.36,221.53,69.35,227.87,61.09,374.51,136.04,325.35,74.36,174.36,49.02,114.23,21.12,126.33,42.89,76.79,1.74,126.55,52.15,92.45,7.9,119.21,44.6,75.62,13.4,101.49,53.28,90.27,34.11,62.01,17.66,39.64,8.25,42.24,5.48,20.78,-1.31,52.47,14.96,30.69,9.93,17.43,6.86,15.48,3.81,21.13,5.95,14.91,2.25,16.94,4.37,8.84,2.42,9.76,-0.38,3.73,-1.81,9.42,-0.34,4.39,0.09,4.35,-1.8,0.42,-0.86,4.43
WITHDRAW_INVEST,26.0,62.0,,75.5,20.0,20.0,20.0,,,,,0.06,,,,3.15,,3.15,,,,,,,,,,,,,,,,,,0.6,0.1,0.6,0.1,0.05,,,,,,,,0.1,0.1,0.1,0.1,,,,,0.17,0.17,0.17,0.17,0.25,0.25,0.25,,0.21,0.21,0.21,0.21,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVE_INVEST_INCOME,0.31,0.68,0.27,1.41,1.28,1.29,1.28,0.06,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.03,0.04,0.0,0.03,0.03,0.03,,0.03,0.03,0.03,,0.04,0.04,0.04,0.01,0.03,0.03,0.03,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
DISPOSAL_LONG_ASSET,0.0,0.0,0.0,0.25,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.02,,0.0,,0.0,,,,0.0,,,,,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.09,,0.0,,0.1,0.01,0.01,0.0,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
DISPOSAL_SUBSIDIARY_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REDUCE_PLEDGE_TIMEDEPOSITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVE_OTHER_INVEST,0.05,0.06,0.05,0.05,0.01,0.04,0.0,0.05,0.04,0.05,0.03,0.1,0.0,0.06,0.0,0.07,,,,0.07,0.04,0.07,0.01,0.11,0.01,0.08,0.0,0.21,0.17,0.18,0.13,0.06,0.04,0.05,0.02,0.33,0.26,0.32,0.05,1.07,1.05,1.05,0.88,7.56,5.42,6.41,4.08,3.4,1.47,1.87,,2.13,0.68,0.75,0.11,0.56,0.54,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVEST_INFLOW_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVEST_INFLOW_BALANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL_INVEST_INFLOW,26.37,62.74,0.33,77.2,21.3,21.34,21.28,0.11,0.04,0.05,0.03,0.19,0.0,0.06,0.0,3.22,,3.15,,0.07,0.04,0.07,0.01,0.11,0.01,0.08,0.0,0.21,0.17,0.18,0.13,0.06,0.04,0.06,0.02,1.06,0.4,0.95,0.15,1.25,1.09,1.09,0.89,7.59,5.45,6.44,4.08,3.55,1.61,2.01,0.11,2.16,0.71,0.78,0.11,0.75,0.73,0.75,0.19,0.27,0.27,0.27,,0.23,0.23,0.23,0.23,,,,,0.0,,,,,,,,,,,,,,,,,,,,
